,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,RO,110010,Guajará-Mirim,96,83,-13,"-13,5%",234,334,100,"42,7%",49,68,19,"38,8%",2.068,1.911,-157,"-7,6%",2.208,2.622,414,"18,8%",4.655,5.018,363,"7,8%"
,RO,110011,Jaru,391,410,19,"4,9%",3.200,3.679,479,"15,0%",201,268,67,"33,3%",3.819,3.800,-19,"-0,5%",3.698,3.606,-92,"-2,5%",11.309,11.763,454,"4,0%"
,RO,110012,Ji-Paraná,707,703,-4,"-0,6%",5.144,5.279,135,"2,6%",1.069,1.120,51,"4,8%",11.163,10.733,-430,"-3,9%",14.044,14.453,409,"2,9%",32.127,32.288,161,"0,5%"
,RO,110013,Machadinho D'Oeste,290,310,20,"6,9%",237,415,178,"75,1%",50,81,31,"62,0%",1.088,1.011,-77,"-7,1%",2.026,2.048,22,"1,1%",3.691,3.865,174,"4,7%"
,RO,110014,Nova Brasilândia D'Oeste,96,104,8,"8,3%",236,252,16,"6,8%",99,63,-36,"-36,4%",604,663,59,"9,8%",1.016,1.074,58,"5,7%",2.051,2.156,105,"5,1%"
,RO,110015,Ouro Preto do Oeste,290,283,-7,"-2,4%",678,734,56,"8,3%",346,251,-95,"-27,5%",2.091,1.999,-92,"-4,4%",2.994,3.328,334,"11,2%",6.399,6.595,196,"3,1%"
,RO,110018,Pimenta Bueno,805,836,31,"3,9%",2.603,2.615,12,"0,5%",207,258,51,"24,6%",3.865,3.814,-51,"-1,3%",3.207,3.536,329,"10,3%",10.687,11.059,372,"3,5%"
,RO,110020,Porto Velho,1.764,1.701,-63,"-3,6%",8.803,9.840,1.037,"11,8%",5.423,6.514,1.091,"20,1%",30.650,30.010,-640,"-2,1%",125.831,85.138,-40.693,"-32,3%",172.474,133.203,-39.271,"-22,8%"
,RO,110025,Presidente Médici,267,284,17,"6,4%",518,575,57,"11,0%",52,69,17,"32,7%",689,740,51,"7,4%",1.481,1.565,84,"5,7%",3.007,3.233,226,"7,5%"
,RO,110026,Rio Crespo,392,443,51,"13,0%",42,41,-1,"-2,4%",19,23,4,"21,1%",31,30,-1,"-3,2%",368,387,19,"5,2%",852,924,72,"8,5%"
,RO,110028,Rolim de Moura,429,415,-14,"-3,3%",3.514,3.971,457,"13,0%",325,290,-35,"-10,8%",3.886,3.759,-127,"-3,3%",5.008,5.627,619,"12,4%",13.162,14.062,900,"6,8%"
,RO,110029,Santa Luzia D'Oeste,289,301,12,"4,2%",85,96,11,"12,9%",22,14,-8,"-36,4%",146,115,-31,"-21,2%",530,537,7,"1,3%",1.072,1.063,-9,"-0,8%"
,RO,110030,Vilhena,1.651,1.791,140,"8,5%",3.696,3.928,232,"6,3%",938,1.062,124,"13,2%",8.226,8.605,379,"4,6%",13.437,14.125,688,"5,1%",27.948,29.511,1.563,"5,6%"
,RO,110032,São Miguel do Guaporé,270,286,16,"5,9%",997,1.099,102,"10,2%",45,40,-5,"-11,1%",906,903,-3,"-0,3%",1.625,1.767,142,"8,7%",3.843,4.095,252,"6,6%"
,RO,110033,Nova Mamoré,226,270,44,"19,5%",93,91,-2,"-2,2%",26,42,16,"61,5%",568,498,-70,"-12,3%",1.441,1.631,190,"13,2%",2.354,2.532,178,"7,6%"
,RO,110034,Alvorada D'Oeste,147,156,9,"6,1%",48,55,7,"14,6%",14,7,-7,"-50,0%",329,362,33,"10,0%",976,919,-57,"-5,8%",1.514,1.499,-15,"-1,0%"
,RO,110037,Alto Alegre dos Parecis,153,164,11,"7,2%",43,26,-17,"-39,5%",54,32,-22,"-40,7%",283,287,4,"1,4%",707,741,34,"4,8%",1.240,1.250,10,"0,8%"
,RO,110040,Alto Paraíso,298,289,-9,"-3,0%",95,58,-37,"-38,9%",12,27,15,"125,0%",418,441,23,"5,5%",936,786,-150,"-16,0%",1.759,1.601,-158,"-9,0%"
,RO,110045,Buritis,251,235,-16,"-6,4%",408,382,-26,"-6,4%",55,76,21,"38,2%",1.442,1.504,62,"4,3%",1.872,2.121,249,"13,3%",4.028,4.318,290,"7,2%"
,RO,110050,Novo Horizonte do Oeste,76,75,-1,"-1,3%",107,100,-7,"-6,5%",32,39,7,"21,9%",389,247,-142,"-36,5%",567,691,124,"21,9%",1.171,1.152,-19,"-1,6%"
,RO,110060,Cacaulândia,154,169,15,"9,7%",20,16,-4,"-20,0%",2,1,-1,"-50,0%",76,65,-11,"-14,5%",373,372,-1,"-0,3%",625,623,-2,"-0,3%"
,RO,110070,Campo Novo de Rondônia,172,176,4,"2,3%",0,0,0,#DIV/0!,3,10,7,"233,3%",154,135,-19,"-12,3%",712,745,33,"4,6%",1.041,1.066,25,"2,4%"
,RO,110080,Candeias do Jamari,497,501,4,"0,8%",287,353,66,"23,0%",47,96,49,"104,3%",599,630,31,"5,2%",1.548,1.731,183,"11,8%",2.979,3.311,332,"11,1%"
,RO,110090,Castanheiras,190,209,19,"10,0%",2,2,0,"0,0%",4,5,1,"25,0%",49,23,-26,"-53,1%",346,374,28,"8,1%",591,613,22,"3,7%"
,RO,110092,Chupinguaia,1.169,1.129,-40,"-3,4%",1.104,1.158,54,"4,9%",35,21,-14,"-40,0%",209,224,15,"7,2%",808,851,43,"5,3%",3.325,3.383,58,"1,7%"
,RO,110094,Cujubim,245,251,6,"2,4%",327,291,-36,"-11,0%",81,22,-59,"-72,8%",453,388,-65,"-14,3%",836,979,143,"17,1%",1.942,1.931,-11,"-0,6%"
,RO,110100,Governador Jorge Teixeira,87,77,-10,"-11,5%",3,1,-2,"-66,7%",11,6,-5,"-45,5%",83,74,-9,"-10,8%",692,767,75,"10,8%",876,925,49,"5,6%"
,RO,110110,Itapuã do Oeste,177,174,-3,"-1,7%",511,576,65,"12,7%",24,28,4,"16,7%",181,175,-6,"-3,3%",649,684,35,"5,4%",1.542,1.637,95,"6,2%"
,RO,110120,Ministro Andreazza,63,68,5,"7,9%",131,137,6,"4,6%",3,1,-2,"-66,7%",226,273,47,"20,8%",586,766,180,"30,7%",1.009,1.245,236,"23,4%"
,RO,110130,Mirante da Serra,45,46,1,"2,2%",231,232,1,"0,4%",28,16,-12,"-42,9%",352,306,-46,"-13,1%",825,886,61,"7,4%",1.481,1.486,5,"0,3%"
,RO,110140,Monte Negro,146,136,-10,"-6,8%",142,146,4,"2,8%",23,19,-4,"-17,4%",317,321,4,"1,3%",892,912,20,"2,2%",1.520,1.534,14,"0,9%"
,RO,110143,Nova União,23,24,1,"4,3%",9,12,3,"33,3%",11,10,-1,"-9,1%",193,182,-11,"-5,7%",499,523,24,"4,8%",735,751,16,"2,2%"
,RO,110145,Parecis,370,353,-17,"-4,6%",53,59,6,"11,3%",1,6,5,"500,0%",73,68,-5,"-6,8%",304,347,43,"14,1%",801,833,32,"4,0%"
,RO,110146,Pimenteiras do Oeste,437,322,-115,"-26,3%",21,18,-3,"-14,3%",8,4,-4,"-50,0%",8,5,-3,"-37,5%",56,350,294,"525,0%",530,699,169,"31,9%"
,RO,110147,Primavera de Rondônia,83,111,28,"33,7%",8,8,0,"0,0%",2,40,38,"1900,0%",31,36,5,"16,1%",346,381,35,"10,1%",470,576,106,"22,6%"
,RO,110148,São Felipe D'Oeste,141,125,-16,"-11,3%",3,3,0,"0,0%",5,9,4,"80,0%",102,100,-2,"-2,0%",472,474,2,"0,4%",723,711,-12,"-1,7%"
,RO,110149,São Francisco do Guaporé,298,381,83,"27,9%",47,39,-8,"-17,0%",27,29,2,"7,4%",651,683,32,"4,9%",939,1.014,75,"8,0%",1.962,2.146,184,"9,4%"
,RO,110150,Seringueiras,99,120,21,"21,2%",111,72,-39,"-35,1%",9,17,8,"88,9%",412,388,-24,"-5,8%",719,852,133,"18,5%",1.350,1.449,99,"7,3%"
,RO,110155,Teixeirópolis,31,37,6,"19,4%",48,45,-3,"-6,3%",6,6,0,"0,0%",110,107,-3,"-2,7%",294,318,24,"8,2%",489,513,24,"4,9%"
,RO,110160,Theobroma,220,219,-1,"-0,5%",36,18,-18,"-50,0%",2,7,5,"250,0%",83,93,10,"12,0%",639,562,-77,"-12,1%",980,899,-81,"-8,3%"
,RO,110170,Urupá,59,57,-2,"-3,4%",264,250,-14,"-5,3%",24,29,5,"20,8%",395,370,-25,"-6,3%",928,998,70,"7,5%",1.670,1.704,34,"2,0%"
,RO,110175,Vale do Anari,75,76,1,"1,3%",35,42,7,"20,0%",0,0,0,#DIV/0!,219,221,2,"0,9%",484,479,-5,"-1,0%",813,818,5,"0,6%"
,RO,110180,Vale do Paraíso,86,69,-17,"-19,8%",36,46,10,"27,8%",7,10,3,"42,9%",115,90,-25,"-21,7%",545,566,21,"3,9%",789,781,-8,"-1,0%"
,AC,120001,Acrelândia,116,140,24,"20,7%",132,123,-9,"-6,8%",12,13,1,"8,3%",289,266,-23,"-8,0%",457,551,94,"20,6%",1.006,1.093,87,"8,6%"
,AC,120005,Assis Brasil,18,18,0,"0,0%",2,3,1,"50,0%",3,1,-2,"-66,7%",111,117,6,"5,4%",416,629,213,"51,2%",550,768,218,"39,6%"
,AC,120010,Brasiléia,42,80,38,"90,5%",675,735,60,"8,9%",31,77,46,"148,4%",859,732,-127,"-14,8%",1.324,1.622,298,"22,5%",2.931,3.246,315,"10,7%"
,AC,120013,Bujari,281,297,16,"5,7%",1,1,0,"0,0%",31,17,-14,"-45,2%",94,91,-3,"-3,2%",1.497,1.450,-47,"-3,1%",1.904,1.856,-48,"-2,5%"
,AC,120017,Capixaba,125,133,8,"6,4%",20,23,3,"15,0%",11,8,-3,"-27,3%",126,124,-2,"-1,6%",497,505,8,"1,6%",779,793,14,"1,8%"
,AC,120020,Cruzeiro do Sul,121,105,-16,"-13,2%",515,673,158,"30,7%",766,475,-291,"-38,0%",3.581,3.863,282,"7,9%",7.557,7.876,319,"4,2%",12.540,12.992,452,"3,6%"
,AC,120025,Epitaciolândia,18,37,19,"105,6%",50,71,21,"42,0%",62,116,54,"87,1%",967,974,7,"0,7%",1.058,1.319,261,"24,7%",2.155,2.517,362,"16,8%"
,AC,120030,Feijó,57,58,1,"1,8%",44,66,22,"50,0%",47,110,63,"134,0%",417,402,-15,"-3,6%",1.724,1.861,137,"7,9%",2.289,2.497,208,"9,1%"
,AC,120032,Jordão,0,0,0,#DIV/0!,4,5,1,"25,0%",9,7,-2,"-22,2%",21,26,5,"23,8%",658,629,-29,"-4,4%",692,667,-25,"-3,6%"
,AC,120033,Mâncio Lima,20,27,7,"35,0%",10,20,10,"100,0%",47,14,-33,"-70,2%",209,216,7,"3,3%",635,740,105,"16,5%",921,1.017,96,"10,4%"
,AC,120034,Manoel Urbano,23,19,-4,"-17,4%",114,93,-21,"-18,4%",3,9,6,"200,0%",96,112,16,"16,7%",304,399,95,"31,3%",540,632,92,"17,0%"
,AC,120035,Marechal Thaumaturgo,0,0,0,#DIV/0!,4,4,0,"0,0%",1,0,-1,"-100,0%",72,86,14,"19,4%",844,1.149,305,"36,1%",921,1.239,318,"34,5%"
,AC,120038,Plácido de Castro,230,249,19,"8,3%",93,106,13,"14,0%",18,82,64,"355,6%",232,223,-9,"-3,9%",1.958,2.020,62,"3,2%",2.531,2.680,149,"5,9%"
,AC,120039,Porto Walter,3,2,-1,"-33,3%",11,11,0,"0,0%",4,4,0,"0,0%",33,24,-9,"-27,3%",1.080,763,-317,"-29,4%",1.131,804,-327,"-28,9%"
,AC,120040,Rio Branco,1.233,1.204,-29,"-2,4%",4.905,5.436,531,"10,8%",6.778,7.112,334,"4,9%",21.377,21.126,-251,"-1,2%",76.859,92.814,15.955,"20,8%",111.153,127.692,16.539,"14,9%"
,AC,120042,Rodrigues Alves,5,7,2,"40,0%",0,0,0,#DIV/0!,585,223,-362,"-61,9%",36,38,2,"5,6%",1.070,35,-1.035,"-96,7%",1.696,303,-1.393,"-82,1%"
,AC,120043,Santa Rosa do Purus,0,0,0,#DIV/0!,10,13,3,"30,0%",1,1,0,"0,0%",14,11,-3,"-21,4%",587,994,407,"69,3%",612,1.019,407,"66,5%"
,AC,120045,Senador Guiomard,658,668,10,"1,5%",364,663,299,"82,1%",50,43,-7,"-14,0%",419,389,-30,"-7,2%",1.590,891,-699,"-44,0%",3.081,2.654,-427,"-13,9%"
,AC,120050,Sena Madureira,390,397,7,"1,8%",275,283,8,"2,9%",68,181,113,"166,2%",985,734,-251,"-25,5%",1.634,1.688,54,"3,3%",3.352,3.283,-69,"-2,1%"
,AC,120060,Tarauacá,147,144,-3,"-2,0%",86,156,70,"81,4%",41,452,411,"1002,4%",704,692,-12,"-1,7%",1.334,1.526,192,"14,4%",2.312,2.970,658,"28,5%"
,AC,120070,Xapuri,206,235,29,"14,1%",172,187,15,"8,7%",34,48,14,"41,2%",267,271,4,"1,5%",408,128,-280,"-68,6%",1.100,869,-231,"-21,0%"
,AC,120080,Porto Acre,234,233,-1,"-0,4%",37,133,96,"259,5%",88,18,-70,"-79,5%",189,190,1,"0,5%",817,1.149,332,"40,6%",1.365,1.723,358,"26,2%"
,AM,130002,Alvarães,0,0,0,#DIV/0!,20,1,-19,"-95,0%",0,1,1,#DIV/0!,40,39,-1,"-2,5%",729,1.420,691,"94,8%",789,1.461,672,"85,2%"
,AM,130006,Amaturá,0,0,0,#DIV/0!,6,1,-5,"-83,3%",2,2,0,"0,0%",9,3,-6,"-66,7%",925,690,-235,"-25,4%",942,696,-246,"-26,1%"
,AM,130008,Anamã,0,0,0,#DIV/0!,10,7,-3,"-30,0%",3,3,0,"0,0%",9,7,-2,"-22,2%",476,849,373,"78,4%",498,866,368,"73,9%"
,AM,130010,Anori,0,0,0,#DIV/0!,5,7,2,"40,0%",8,7,-1,"-12,5%",15,14,-1,"-6,7%",997,1.051,54,"5,4%",1.025,1.079,54,"5,3%"
,AM,130014,Apuí,11,8,-3,"-27,3%",9,20,11,"122,2%",10,10,0,"0,0%",242,259,17,"7,0%",804,681,-123,"-15,3%",1.076,978,-98,"-9,1%"
,AM,130020,Atalaia do Norte,0,0,0,#DIV/0!,42,43,1,"2,4%",0,0,0,#DIV/0!,27,21,-6,"-22,2%",1.566,1.699,133,"8,5%",1.635,1.763,128,"7,8%"
,AM,130030,Autazes,10,10,0,"0,0%",63,68,5,"7,9%",31,31,0,"0,0%",163,215,52,"31,9%",1.756,1.790,34,"1,9%",2.023,2.114,91,"4,5%"
,AM,130040,Barcelos,0,0,0,#DIV/0!,20,31,11,"55,0%",62,53,-9,"-14,5%",90,92,2,"2,2%",669,51,-618,"-92,4%",841,227,-614,"-73,0%"
,AM,130050,Barreirinha,0,0,0,#DIV/0!,17,16,-1,"-5,9%",0,0,0,#DIV/0!,102,108,6,"5,9%",684,865,181,"26,5%",803,989,186,"23,2%"
,AM,130060,Benjamin Constant,2,0,-2,"-100,0%",69,53,-16,"-23,2%",0,21,21,#DIV/0!,164,132,-32,"-19,5%",2.531,2.643,112,"4,4%",2.766,2.849,83,"3,0%"
,AM,130063,Beruri,0,0,0,#DIV/0!,1,1,0,"0,0%",1,1,0,"0,0%",12,14,2,"16,7%",1.284,1.397,113,"8,8%",1.298,1.413,115,"8,9%"
,AM,130068,Boa Vista do Ramos,0,0,0,#DIV/0!,5,14,9,"180,0%",6,6,0,"0,0%",59,75,16,"27,1%",1.869,20,-1.849,"-98,9%",1.939,115,-1.824,"-94,1%"
,AM,130070,Boca do Acre,632,640,8,"1,3%",424,261,-163,"-38,4%",11,7,-4,"-36,4%",412,362,-50,"-12,1%",2.227,4.752,2.525,"113,4%",3.706,6.022,2.316,"62,5%"
,AM,130080,Borba,0,0,0,#DIV/0!,23,23,0,"0,0%",8,13,5,"62,5%",89,124,35,"39,3%",2.925,3.350,425,"14,5%",3.045,3.510,465,"15,3%"
,AM,130083,Caapiranga,0,0,0,#DIV/0!,1,4,3,"300,0%",0,0,0,#DIV/0!,11,7,-4,"-36,4%",1.180,1.197,17,"1,4%",1.192,1.208,16,"1,3%"
,AM,130090,Canutama,46,51,5,"10,9%",2,2,0,"0,0%",0,1,1,#DIV/0!,13,15,2,"15,4%",503,758,255,"50,7%",564,827,263,"46,6%"
,AM,130100,Carauari,11,10,-1,"-9,1%",33,29,-4,"-12,1%",0,0,0,#DIV/0!,166,166,0,"0,0%",1.007,1.150,143,"14,2%",1.217,1.355,138,"11,3%"
,AM,130110,Careiro,9,8,-1,"-11,1%",24,9,-15,"-62,5%",83,39,-44,"-53,0%",121,117,-4,"-3,3%",1.163,6.014,4.851,"417,1%",1.400,6.187,4.787,"341,9%"
,AM,130115,Careiro da Várzea,0,0,0,#DIV/0!,2,3,1,"50,0%",0,32,32,#DIV/0!,12,10,-2,"-16,7%",1.291,1.750,459,"35,6%",1.305,1.795,490,"37,5%"
,AM,130120,Coari,4,3,-1,"-25,0%",461,491,30,"6,5%",53,140,87,"164,2%",749,646,-103,"-13,8%",7.518,7.416,-102,"-1,4%",8.785,8.696,-89,"-1,0%"
,AM,130130,Codajás,0,0,0,#DIV/0!,36,29,-7,"-19,4%",30,107,77,"256,7%",70,83,13,"18,6%",1.348,1.508,160,"11,9%",1.484,1.727,243,"16,4%"
,AM,130140,Eirunepé,0,0,0,#DIV/0!,28,23,-5,"-17,9%",29,32,3,"10,3%",159,180,21,"13,2%",1.516,1.390,-126,"-8,3%",1.732,1.625,-107,"-6,2%"
,AM,130150,Envira,1,0,-1,"-100,0%",16,16,0,"0,0%",3,6,3,"100,0%",46,51,5,"10,9%",1.554,1.636,82,"5,3%",1.620,1.709,89,"5,5%"
,AM,130160,Fonte Boa,0,0,0,#DIV/0!,11,13,2,"18,2%",1,0,-1,"-100,0%",34,44,10,"29,4%",2.195,3.347,1.152,"52,5%",2.241,3.404,1.163,"51,9%"
,AM,130165,Guajará,17,11,-6,"-35,3%",4,4,0,"0,0%",16,21,5,"31,3%",33,51,18,"54,5%",697,27,-670,"-96,1%",767,114,-653,"-85,1%"
,AM,130170,Humaitá,130,151,21,"16,2%",307,379,72,"23,5%",62,116,54,"87,1%",1.333,1.234,-99,"-7,4%",2.145,1.256,-889,"-41,4%",3.977,3.136,-841,"-21,1%"
,AM,130180,Ipixuna,0,0,0,#DIV/0!,13,11,-2,"-15,4%",0,0,0,#DIV/0!,14,19,5,"35,7%",31,552,521,"1680,6%",58,582,524,"903,4%"
,AM,130185,Iranduba,207,194,-13,"-6,3%",1.556,1.985,429,"27,6%",215,196,-19,"-8,8%",509,511,2,"0,4%",2.920,7.521,4.601,"157,6%",5.407,10.407,5.000,"92,5%"
,AM,130190,Itacoatiara,135,474,339,"251,1%",1.209,487,-722,"-59,7%",139,159,20,"14,4%",1.704,1.640,-64,"-3,8%",8.564,8.223,-341,"-4,0%",11.751,10.983,-768,"-6,5%"
,AM,130195,Itamarati,0,0,0,#DIV/0!,16,1,-15,"-93,8%",27,4,-23,"-85,2%",9,8,-1,"-11,1%",1.096,476,-620,"-56,6%",1.148,489,-659,"-57,4%"
,AM,130200,Itapiranga,0,0,0,#DIV/0!,2,5,3,"150,0%",0,0,0,#DIV/0!,60,46,-14,"-23,3%",656,682,26,"4,0%",718,733,15,"2,1%"
,AM,130210,Japurá,0,0,0,#DIV/0!,17,2,-15,"-88,2%",16,14,-2,"-12,5%",26,23,-3,"-11,5%",1.200,1.340,140,"11,7%",1.259,1.379,120,"9,5%"
,AM,130220,Juruá,1,1,0,"0,0%",25,15,-10,"-40,0%",0,0,0,#DIV/0!,23,32,9,"39,1%",926,1.649,723,"78,1%",975,1.697,722,"74,1%"
,AM,130230,Jutaí,0,0,0,#DIV/0!,9,5,-4,"-44,4%",0,0,0,#DIV/0!,43,54,11,"25,6%",729,764,35,"4,8%",781,823,42,"5,4%"
,AM,130240,Lábrea,265,286,21,"7,9%",28,18,-10,"-35,7%",5,6,1,"20,0%",341,329,-12,"-3,5%",1.700,1.893,193,"11,4%",2.339,2.532,193,"8,3%"
,AM,130250,Manacapuru,132,189,57,"43,2%",801,849,48,"6,0%",46,94,48,"104,3%",1.488,1.753,265,"17,8%",7.088,7.050,-38,"-0,5%",9.555,9.935,380,"4,0%"
,AM,130255,Manaquiri,0,1,1,#DIV/0!,21,1,-20,"-95,2%",7,7,0,"0,0%",44,64,20,"45,5%",1.101,992,-109,"-9,9%",1.173,1.065,-108,"-9,2%"
,AM,130260,Manaus,1.299,1.310,11,"0,8%",114.155,117.852,3.697,"3,2%",24.232,25.593,1.361,"5,6%",101.788,104.274,2.486,"2,4%",341.263,356.125,14.862,"4,4%",582.757,605.154,22.397,"3,8%"
,AM,130270,Manicoré,52,55,3,"5,8%",77,108,31,"40,3%",189,221,32,"16,9%",455,435,-20,"-4,4%",2.587,2.918,331,"12,8%",3.360,3.737,377,"11,2%"
,AM,130280,Maraã,0,0,0,#DIV/0!,6,1,-5,"-83,3%",0,0,0,#DIV/0!,45,38,-7,"-15,6%",648,1.681,1.033,"159,4%",699,1.720,1.021,"146,1%"
,AM,130290,Maués,5,37,32,"640,0%",94,97,3,"3,2%",109,57,-52,"-47,7%",516,509,-7,"-1,4%",3.012,3.351,339,"11,3%",3.736,4.051,315,"8,4%"
,AM,130300,Nhamundá,0,0,0,#DIV/0!,17,18,1,"5,9%",1,5,4,"400,0%",65,74,9,"13,8%",492,1.135,643,"130,7%",575,1.232,657,"114,3%"
,AM,130310,Nova Olinda do Norte,0,0,0,#DIV/0!,46,46,0,"0,0%",3,2,-1,"-33,3%",189,207,18,"9,5%",1.461,3.305,1.844,"126,2%",1.699,3.560,1.861,"109,5%"
,AM,130320,Novo Airão,2,2,0,"0,0%",7,28,21,"300,0%",7,18,11,"157,1%",119,89,-30,"-25,2%",1.302,1.441,139,"10,7%",1.437,1.578,141,"9,8%"
,AM,130330,Novo Aripuanã,3,3,0,"0,0%",11,6,-5,"-45,5%",5,2,-3,"-60,0%",65,47,-18,"-27,7%",863,1.229,366,"42,4%",947,1.287,340,"35,9%"
,AM,130340,Parintins,3,7,4,"133,3%",367,496,129,"35,1%",103,55,-48,"-46,6%",1.932,2.136,204,"10,6%",5.492,8.057,2.565,"46,7%",7.897,10.751,2.854,"36,1%"
,AM,130350,Pauini,1,0,-1,"-100,0%",1,1,0,"0,0%",6,8,2,"33,3%",10,16,6,"60,0%",29,33,4,"13,8%",47,58,11,"23,4%"
,AM,130353,Presidente Figueiredo,1.045,1.188,143,"13,7%",1.793,1.780,-13,"-0,7%",80,29,-51,"-63,8%",371,401,30,"8,1%",2.223,3.078,855,"38,5%",5.512,6.476,964,"17,5%"
,AM,130356,Rio Preto da Eva,218,204,-14,"-6,4%",288,308,20,"6,9%",52,32,-20,"-38,5%",242,301,59,"24,4%",1.298,1.662,364,"28,0%",2.098,2.507,409,"19,5%"
,AM,130360,Santa Isabel do Rio Negro,0,0,0,#DIV/0!,1,1,0,"0,0%",0,0,0,#DIV/0!,13,19,6,"46,2%",1.277,9,-1.268,"-99,3%",1.291,29,-1.262,"-97,8%"
,AM,130370,Santo Antônio do Içá,0,0,0,#DIV/0!,25,10,-15,"-60,0%",3,2,-1,"-33,3%",166,223,57,"34,3%",1.140,3.699,2.559,"224,5%",1.334,3.934,2.600,"194,9%"
,AM,130380,São Gabriel da Cachoeira,0,0,0,#DIV/0!,42,30,-12,"-28,6%",31,9,-22,"-71,0%",249,265,16,"6,4%",200,2.419,2.219,"1109,5%",522,2.723,2.201,"421,6%"
,AM,130390,São Paulo de Olivença,0,0,0,#DIV/0!,28,20,-8,"-28,6%",9,13,4,"44,4%",69,72,3,"4,3%",764,1.514,750,"98,2%",870,1.619,749,"86,1%"
,AM,130395,São Sebastião do Uatumã,0,0,0,#DIV/0!,3,3,0,"0,0%",12,13,1,"8,3%",49,61,12,"24,5%",634,585,-49,"-7,7%",698,662,-36,"-5,2%"
,AM,130400,Silves,0,0,0,#DIV/0!,127,155,28,"22,0%",7,424,417,"5957,1%",27,41,14,"51,9%",736,34,-702,"-95,4%",897,654,-243,"-27,1%"
,AM,130406,Tabatinga,0,0,0,#DIV/0!,135,188,53,"39,3%",54,47,-7,"-13,0%",988,996,8,"0,8%",4.614,5.078,464,"10,1%",5.791,6.309,518,"8,9%"
,AM,130410,Tapauá,0,0,0,#DIV/0!,5,5,0,"0,0%",28,6,-22,"-78,6%",16,14,-2,"-12,5%",1.911,80,-1.831,"-95,8%",1.960,105,-1.855,"-94,6%"
,AM,130420,Tefé,3,9,6,"200,0%",144,112,-32,"-22,2%",74,68,-6,"-8,1%",1.113,1.126,13,"1,2%",825,8.167,7.342,"889,9%",2.159,9.482,7.323,"339,2%"
